country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Tunisia,,,,,,,,,,85.7,,,,,,,,,,90.4,,,,,,,,,,96.4,,,97.8,98.1,,98.2,
Turkey,90.8,,,,,93.6,,,,,95.7,,,,,96.6,,,,,,,,,,,,,,98,98.4,98.4,98.6,,99,99.2,99.5
Tanzania,,,,,,,,,,,,,,86.2,,,,,,,,,,,,,,80.9,,,,,,,,76.5,
Uganda,,,,,,,,,,,,,,,,,77.2,,,,,,,,,,,86,,,,87.3,,,,89.6,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,99.8,,,,,,,,,,99.7
Uruguay,97.7,,,,,,,,,,98.3,,,,,,,,,,,98.2,,,,,,,,,,98.3,98.5,98.6,98.1,98.4,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,99.8,,,,,,,,,,,99.9
Venezuela,,,,,,,92.3,,,,,,,,,94.5,,,,,,,,,,,96.3,,,,,,98,,98.3,,
Vietnam,,,,,96.1,,,,,,,,,,94.1,,,,,,,,,,94.2,95.6,,,,,,,,,,,97.5
Vanuatu,,,,,75.7,,,,,,,,,,,,,,,87.3,,,,,,,,,,92.1,,,,,,,94.4
Samoa,,,,,,,,,,,,,,,,,99.1,,,,,,,,,,,,,99.3,,,,,,,99.4
Yemen,,,,,,,,,,,,,,,,,,,,82.8,,,,,,,,,,92.8,,,,,,,96.4
South Africa,,,,,,85.3,,,,,,,,,,,,,,,,93.5,,,,,,,,,,,97,,,,98.4
Zambia,,,,,,,,,,,,,,,,67.3,,,,,,,,,72.6,,,77.7,,,,,70.3,,,,
Zimbabwe,,,,,,,,93.8,,,,,,,,,,96.5,,,,,,,,,,,,,,,,,,,89.6
